# Entity-resolution crosswalk: IIHS nameplate <-> FARS make/model codes.
# Built semi-automatically by src/vsa/tools/build_crosswalk.py:
# FARS VIN samples -> vPIC decode -> fuzzy match to IIHS nameplates.
# Low-confidence rows are duplicated into crosswalk_review.csv — review
# and correct HERE (this file is what resolve() reads). Every MY2017/
# MY2020 death-rate row must resolve or `make resolve` fails loudly.
iihs_name,fars_make_code,fars_model_code,vpic_body_class,drivetrain,class,luxury_flag
Chevrolet Silverado 1500 Extended Cab,20,481,Pickup,4WD,large pickups,0
Ram 1500 Crew Cab short bed,7,482,Pickup,4WD,large pickups,0
Chevrolet Silverado 1500 Crew Cab,20,481,Pickup,2WD,large pickups,0
GMC Sierra 1500 Crew Cab,23,481,Pickup,4WD,large pickups,0
Ford F-150 SuperCrew,12,481,Pickup,4WD,large pickups,0
Ram 1500 Quad Cab,7,482,Pickup,4WD,large pickups,0
Ram 1500 Classic Quad Cab,7,482,Pickup,4WD,large pickups,0
Ram 1500 Crew Cab short bed,7,482,Pickup,2WD,large pickups,0
Toyota Tundra Crew Max,49,482,Pickup,4WD,large pickups,0
Chevrolet Silverado 1500 Crew Cab,20,481,Pickup,4WD,large pickups,0
Ram 2500 Mega Cab,7,880,Pickup,4WD,very large pickups,0
Ford F-250 SuperCab,12,880,Pickup,4WD,very large pickups,0
Ford F-350 Crew Cab,12,880,Pickup,4WD,very large pickups,0
Ram 3500 Crew Cab long bed,7,880,Pickup,4WD,very large pickups,0
Ram 2500 Crew Cab long bed,7,880,Pickup,4WD,very large pickups,0
Ford F-250 Crew Cab,12,880,Pickup,4WD,very large pickups,0
Ram 2500 Crew Cab short bed,7,880,Pickup,4WD,very large pickups,0
Jeep Renegade,2,408,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,small SUVs,0
Honda CR-V,37,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small SUVs,0
Jeep Compass,2,1,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small SUVs,0
Nissan Rogue,35,51,Crossover Utility Vehicle [CUV],4WD,small SUVs,0
Chevrolet Equinox,20,404,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small SUVs,0
Nissan Rogue,35,51,Crossover Utility Vehicle [CUV],2WD,small SUVs,0
Chevrolet Trax,20,406,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,small SUVs,0
Ford EcoSport,12,403,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,small SUVs,0
Honda HR-V,37,404,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,small SUVs,0
Jeep Compass,2,1,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,small SUVs,0
Toyota RAV4,49,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small SUVs,0
Mitsubishi Outlander Sport,52,47,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,small SUVs,0
Chevrolet Trax,20,406,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small SUVs,0
Subaru Forester,48,401,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],NAN,small SUVs,0
Honda HR-V,37,404,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small SUVs,0
Toyota RAV4 hybrid,49,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small SUVs,0
Ford EcoSport,12,403,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small SUVs,0
Hyundai Santa Fe,55,401,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,small SUVs,0
Chevrolet Equinox,20,404,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,small SUVs,0
Ford Escape,12,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small SUVs,0
Toyota C-HR,49,405,Crossover Utility Vehicle [CUV],NAN,small SUVs,0
Hyundai Santa Fe,55,401,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small SUVs,0
Hyundai Tucson,55,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small SUVs,0
Hyundai Tucson,55,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,small SUVs,0
Mitsubishi Outlander Sport,52,47,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small SUVs,0
Mitsubishi Outlander,52,47,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,small SUVs,0
Jeep Renegade,2,408,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small SUVs,0
Toyota RAV4,49,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,small SUVs,0
Mitsubishi Outlander,52,47,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small SUVs,0
Jeep Grand Cherokee,2,422,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize SUVs,0
Honda Pilot,37,421,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize SUVs,0
Chevrolet Traverse,20,423,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize SUVs,0
GMC Acadia,23,423,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize SUVs,0
Nissan Murano,35,49,Crossover Utility Vehicle [CUV],2WD,midsize SUVs,0
Subaru Ascent,48,421,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],NAN,midsize SUVs,0
Buick Enclave,18,421,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize SUVs,0
Nissan Murano,35,49,Crossover Utility Vehicle [CUV],4WD,midsize SUVs,0
Jeep Grand Cherokee,2,422,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize SUVs,0
Honda Pilot,37,421,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize SUVs,0
Kia Sorento,63,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize SUVs,0
Nissan Pathfinder,35,401,Crossover Utility Vehicle [CUV],2WD,midsize SUVs,0
GMC Acadia,23,423,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize SUVs,0
Dodge Journey,7,27,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize SUVs,0
Ford Explorer,12,401,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize SUVs,0
Chevrolet Traverse,20,423,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize SUVs,0
Buick Enclave,18,421,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize SUVs,0
Jeep Cherokee,2,422,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize SUVs,0
Volkswagen Atlas,30,403,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize SUVs,0
Nissan Pathfinder,35,401,Crossover Utility Vehicle [CUV],4WD,midsize SUVs,0
Ford Edge,12,24,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize SUVs,0
Chevrolet Blazer,20,498,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize SUVs,0
Kia Sorento,63,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize SUVs,0
Jeep Cherokee,2,422,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize SUVs,0
Jeep Wrangler 4-door,2,403,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize SUVs,0
