cycle,nameplate,class,drivetrain,model_years,rate_overall,ci_lo,ci_hi,rate_mv,rate_sv,rate_sv_roll,exposure_rvy
MY2020,Dodge Charger,large cars,2WD,2017-20,91,56,126,,,,372915
MY2020,Chrysler 300,large cars,2WD,2017-20,61,30,92,,,,239210
MY2020,Audi A4,midsize luxury cars,2WD,2017-20,7,0,21,,,,111353
MY2020,Acura TLX,midsize luxury cars,2WD,2018-20,31,0,64,,,,140489
MY2020,Lexus ES 350,midsize luxury cars,,2019-20,0,0,29,,,,128984
MY2020,Audi A4,midsize luxury cars,4WD,2017-20,17,0,36,,,,253968
MY2020,Tesla Model 3,midsize luxury cars,4WD,2019-20,52,9,96,,,,150131
MY2020,Mercedes-Benz C-Class sedan,midsize luxury cars,2WD,2017-20,28,5,51,,,,239682
MY2020,Mercedes-Benz C-Class sedan,midsize luxury cars,4WD,2017-20,9,0,21,,,,178256
MY2020,Mercedes-Benz CLA-Class,midsize luxury cars,2WD,2017-20,64,11,117,,,,103631
MY2020,Tesla Model 3,midsize luxury cars,2WD,2019-20,15,0,33,,,,155635
MY2020,Genesis G80,large luxury cars,,2017-20,30,0,69,,,,115322
MY2020,Mercedes-Benz E-Class sedan,large luxury cars,4WD,2017-20,0,0,22,,,,165231
MY2020,Mercedes-Benz E-Class sedan,large luxury cars,2WD,2017-20,27,5,48,,,,177688
MY2020,Tesla Model S,large luxury cars,4WD,2017-20,17,0,33,,,,188773
MY2020,Ford Mustang GT coupe,midsize sports cars,,2017-20,77,45,109,,,,269419
MY2020,Ford Mustang coupe,midsize sports cars,,2017-20,59,31,86,,,,287448
MY2020,Ford Mustang convertible,midsize sports cars,,2017-20,97,41,153,,,,137742
MY2020,Chevrolet Camaro coupe,large sports cars,,2017-20,110,76,145,,,,411837
MY2020,Chevrolet Camaro convertible,large sports cars,,2017-20,113,34,191,,,,100610
MY2020,Honda Fit,mini station wagons/minivans,,2017-20,53,25,81,,,,382953
MY2020,Kia Niro hybrid,mini station wagons/minivans,,2017-20,43,15,71,,,,226239
