cycle,nameplate,class,drivetrain,model_years,rate_overall,ci_lo,ci_hi,rate_mv,rate_sv,rate_sv_roll,exposure_rvy,level
MY2014,All 2014 large SUVs,large SUVs,,2011-14,22,14,30,11.0,12.0,6.0,2305225,class
MY2014,All 2014 very large SUVs,very large SUVs,,2011-14,30,12,47,18.0,11.0,5.0,554676,class
MY2014,All 2014 small luxury SUVs,small luxury SUVs,,2011-14,8,0,42,8.0,0.0,0.0,131383,class
MY2014,All 2014 midsize luxury SUVs,midsize luxury SUVs,,2011-14,13,5,21,9.0,4.0,1.0,1171690,class
MY2014,All 2014 large luxury SUVs,large luxury SUVs,,2011-14,6,0,13,5.0,1.0,1.0,702604,class
MY2014,All 2014 very large luxury SUVs,very large luxury SUVs,,2011-14,18,2,64,9.0,9.0,0.0,112420,class
MY2014,All 2014 vehicles,all,,2011-14,30,29,32,18.0,12.0,5.0,92639411,fleet
MY2011,All 2011 midsize luxury cars,midsize luxury cars,,2008-11,14,10,18,5.0,10.0,5.0,3751598,class
MY2011,All 2011 large luxury cars,large luxury cars,,2008-11,26,17,34,13.0,12.0,3.0,1349720,class
MY2011,All 2011 very large luxury cars,very large luxury cars,,2008-11,10,1,18,8.0,1.0,0.0,616598,class
MY2011,All 2011 small sports cars,small sports cars,,2008-11,0,0,31,0.0,0.0,0.0,119348,class
MY2011,All 2011 midsize sports cars,midsize sports cars,,2008-11,50,27,73,19.0,32.0,16.0,427680,class
MY2011,All 2011 large sports cars,large sports cars,,2008-11,67,41,93,15.0,51.0,22.0,383195,class
MY2011,All 2011 mini station wagons/minivans,mini station wagons/minivans,,2008-11,37,15,59,35.0,3.0,3.0,230118,class
MY2011,All 2011 small station wagons/minivans,small station wagons/minivans,,2008-11,41,31,51,25.0,16.0,7.0,2249029,class
MY2011,All 2011 midsize station wagons/minivans,midsize station wagons/minivans,,2008-11,7,0,14,4.0,3.0,2.0,448457,class
MY2011,All 2011 very large station wagons/minivans,very large station wagons/minivans,,2008-11,23,16,30,17.0,5.0,2.0,2771884,class
MY2011,All 2011 small pickups,small pickups,,2008-11,29,14,43,18.0,10.0,5.0,593757,class
MY2011,All 2011 large pickups,large pickups,,2008-11,26,19,32,15.0,11.0,2.0,1892673,class
MY2011,All 2011 very large pickups,very large pickups,,2008-11,39,22,55,15.0,24.0,14.0,436718,class
MY2011,All 2011 small SUVs,small SUVs,,2008-11,22,17,27,11.0,11.0,3.0,4705700,class
MY2011,All 2011 midsize SUVs,midsize SUVs,,2008-11,17,12,22,7.0,9.0,4.0,3846761,class
MY2011,All 2011 large SUVs,large SUVs,,2008-11,8,3,12,3.0,4.0,2.0,1697102,class
MY2011,All 2011 very large SUVs,very large SUVs,,2008-11,18,8,29,10.0,7.0,4.0,717602,class
MY2011,All 2011 midsize luxury SUVs,midsize luxury SUVs,,2008-11,10,5,15,5.0,4.0,1.0,1968408,class
MY2011,All 2011 large luxury SUVs,large luxury SUVs,,2008-11,13,4,22,2.0,12.0,8.0,797991,class
MY2011,All 2011 very large luxury SUVs,very large luxury SUVs,,2008-11,17,0,34,9.0,8.0,0.0,180801,class
MY2011,All 2011 vehicles,all,,2008-11,28,27,30,16.0,12.0,5.0,62932462,fleet
MY2008,All 2008 midsize luxury cars,midsize luxury cars,,2005-08,31,28,35,17.0,15.0,5.0,2802392,class
MY2008,All 2008 large luxury cars,large luxury cars,,2005-08,24,20,28,11.0,13.0,5.0,1596600,class
MY2008,All 2008 very large luxury cars,very large luxury cars,,2005-08,39,34,45,18.0,21.0,6.0,682539,class
MY2008,All 2008 mini sports cars,mini sports cars,,2005-08,83,61,104,58.0,25.0,17.0,101952,class
