direction,term,coef,ci_lo,ci_hi,p_value,n,note,placebo
frontal,Intercept,-8.506904220038255,-9.155376943688719,-7.858431496387791,8.686743416227154e-146,15168.0,,False
frontal,C(cls)[T.large pickups],0.8394221314022532,0.46314696502539876,1.2156972977791076,1.2287074101567474e-05,15168.0,,False
frontal,C(cls)[T.midsize SUVs],0.4491415209149512,0.04369544861818436,0.854587593211718,0.02991667370168094,15168.0,,False
frontal,C(cls)[T.midsize cars],1.3218417779781633,0.9448877782397358,1.6987957777165907,6.291536443177697e-12,15168.0,,False
frontal,C(cls)[T.midsize luxury SUVs],0.07253089758900913,-0.41425574315107894,0.5593175383290973,0.7702611038402036,15168.0,,False
frontal,C(cls)[T.midsize luxury cars],0.38158944410294066,-0.06380312824963086,0.8269820164555122,0.0931137894420921,15168.0,,False
frontal,C(cls)[T.midsize station wagons/minivans],1.245799930006957,0.6566778103284903,1.834922049685424,3.4028774436803037e-05,15168.0,,False
frontal,C(cls)[T.mini cars],1.3732803836987404,0.946283701366569,1.8002770660309118,2.909695943827067e-10,15168.0,,False
frontal,C(cls)[T.mini station wagons/minivans],-0.10437799895504601,-0.9351862796963191,0.7264302817862271,0.8054974894245294,15168.0,,False
frontal,C(cls)[T.small SUVs],0.8899755965966502,0.5065571238647573,1.273394069328543,5.380168187134813e-06,15168.0,,False
frontal,C(cls)[T.small cars],1.0674948747314317,0.6849796313073784,1.450010118155485,4.507455683561605e-08,15168.0,,False
frontal,C(cls)[T.small pickups],0.787134487401596,0.39291375020740227,1.1813552245957897,9.099429974502061e-05,15168.0,,False
frontal,C(cls)[T.small station wagons/minivans],1.656066595690157,1.245452413877298,2.066680777503016,2.6832268024775816e-15,15168.0,,False
frontal,C(cls)[T.very large station wagons/minivans],1.0762548787771111,0.6854353835115378,1.4670743740426846,6.760230048972945e-08,15168.0,,False
frontal,C(driver_sex)[T.2.0],-0.7178452137312981,-0.7867763822090452,-0.6489140452535509,1.3365616707506488e-92,15168.0,,False
frontal,C(road_class)[T.urban],-0.5991054084540254,-0.6631995065903558,-0.535011310317695,5.696646019363159e-75,15168.0,,False
frontal,small_overlap_driver,0.0065282080466225675,-0.10824250079230119,0.12129891688554634,0.9112328638964949,15168.0,,False
frontal,small_overlap_passenger,0.013506010471793554,-0.034540906951538705,0.061552927895125814,0.5816701628599118,15168.0,,False
frontal,driver_age,0.01934727286652526,0.017555471930100913,0.021139073802949607,2.092769067916038e-99,15168.0,,False
frontal,n_vehicles,-0.3333982176390685,-0.3956913781970567,-0.27110505708108035,9.613866773601749e-26,15168.0,,False
frontal,speed_limit,0.05032533421215278,0.04820675854074876,0.0524439098835568,0.0,15168.0,,False
left_side,Intercept,-10.768795604123943,-12.221043141211645,-9.31654806703624,7.416556809518845e-48,1106.0,,False
left_side,C(cls)[T.large luxury cars],-21.6461694128369,-22.55667401784231,-20.73566480783149,0.0,1106.0,,False
left_side,C(cls)[T.large pickups],1.9079195830493105,0.8060608955341078,3.0097782705645133,0.0006893785903014008,1106.0,,False
left_side,C(cls)[T.midsize SUVs],1.6528491717280716,0.6687730935540244,2.6369252499021187,0.0009949687988552254,1106.0,,False
left_side,C(cls)[T.midsize cars],2.788648781575183,1.8160571881165035,3.7612403750338625,1.9131414250724096e-08,1106.0,,False
left_side,C(cls)[T.midsize luxury SUVs],1.3935123398431897,0.06840834792072936,2.71861633176565,0.03928902666363559,1106.0,,False
left_side,C(cls)[T.midsize station wagons/minivans],3.031774654866226,0.8879093459385414,5.175639963793911,0.005576299306266348,1106.0,,False
left_side,C(cls)[T.small SUVs],1.903188281125181,0.9761827927195605,2.8301937695308013,5.724141698071861e-05,1106.0,,False
left_side,C(cls)[T.small cars],0.8654889347260187,-0.2909781312416432,2.0219560006936805,0.14242547004882278,1106.0,,False
left_side,C(cls)[T.small pickups],0.531870819300503,-0.5269045093360224,1.5906461479370284,0.32483105016228975,1106.0,,False
left_side,C(cls)[T.small station wagons/minivans],0.9573306412828801,-0.4540114018718888,2.368672684437649,0.18369373440288783,1106.0,,False
left_side,C(cls)[T.very large station wagons/minivans],-20.702164092045326,-21.58925009133166,-19.81507809275899,0.0,1106.0,,False
left_side,C(driver_sex)[T.2.0],0.2888927670480302,0.0707588630981312,0.5070266709979292,0.009438680510280288,1106.0,,False
left_side,C(road_class)[T.urban],-0.498953125649174,-0.7421132541085819,-0.2557929971897661,5.776643453734864e-05,1106.0,,False
left_side,side_updated,0.08426540330969308,-0.08431919318049867,0.2528499997998848,0.327249379059695,1106.0,,False
left_side,driver_age,0.04584256817812947,0.03821494070957941,0.05347019564667953,4.977631198588672e-32,1106.0,,False
left_side,n_vehicles,-0.2168834182883688,-0.5170701750271438,0.08330333845040624,0.1567567386485225,1106.0,,False
left_side,speed_limit,0.03210951612210743,0.025210621721590408,0.03900841052262446,7.357507595176699e-20,1106.0,,False
rollover,,,,,,,no usable (discriminating) tests,False
frontal,Intercept,-8.174857950176271,-8.57785487149605,-7.771861028856493,0.0,8485.0,,True
frontal,C(cls)[T.large luxury cars],-1.6008927518543306,-3.5721447197577465,0.37035921604908517,0.11144638323743802,8485.0,,True
frontal,C(cls)[T.large pickups],0.527258582041119,0.26184733135247,0.7926698327297679,9.876349177730919e-05,8485.0,,True
frontal,C(cls)[T.midsize SUVs],-0.03810296492390782,-0.28477139506860827,0.20856546522079264,0.7620755340712205,8485.0,,True
frontal,C(cls)[T.midsize cars],0.5127403763821736,0.26562207663703463,0.7598586761273126,4.768630999272267e-05,8485.0,,True
frontal,C(cls)[T.midsize luxury SUVs],-0.2113047551260308,-0.6951200339707855,0.2725105237187238,0.3919933994572379,8485.0,,True
