direction,term,coef,ci_lo,ci_hi,p_value,n,note,placebo
frontal,Intercept,-8.506904220038255,-9.15537694368872,-7.858431496387791,8.686743416227154e-146,15168.0,,False
frontal,C(cls)[T.large pickups],0.8394221314022532,0.4631469650253987,1.2156972977791076,1.2287074101567474e-05,15168.0,,False
frontal,C(cls)[T.midsize SUVs],0.4491415209149512,0.0436954486181843,0.854587593211718,0.0299166737016809,15168.0,,False
frontal,C(cls)[T.midsize cars],1.3218417779781633,0.9448877782397358,1.6987957777165907,6.291536443177697e-12,15168.0,,False
frontal,C(cls)[T.midsize luxury SUVs],0.0725308975890091,-0.4142557431510789,0.5593175383290973,0.7702611038402036,15168.0,,False
frontal,C(cls)[T.midsize luxury cars],0.3815894441029406,-0.0638031282496308,0.8269820164555122,0.0931137894420921,15168.0,,False
frontal,C(cls)[T.midsize station wagons/minivans],1.245799930006957,0.6566778103284903,1.834922049685424,3.402877443680304e-05,15168.0,,False
frontal,C(cls)[T.mini cars],1.3732803836987404,0.946283701366569,1.8002770660309118,2.909695943827067e-10,15168.0,,False
frontal,C(cls)[T.mini station wagons/minivans],-0.104377998955046,-0.9351862796963192,0.7264302817862271,0.8054974894245294,15168.0,,False
frontal,C(cls)[T.small SUVs],0.8899755965966502,0.5065571238647573,1.273394069328543,5.380168187134813e-06,15168.0,,False
frontal,C(cls)[T.small cars],1.0674948747314317,0.6849796313073784,1.450010118155485,4.507455683561605e-08,15168.0,,False
frontal,C(cls)[T.small pickups],0.787134487401596,0.3929137502074022,1.1813552245957897,9.09942997450206e-05,15168.0,,False
frontal,C(cls)[T.small station wagons/minivans],1.656066595690157,1.245452413877298,2.066680777503016,2.6832268024775816e-15,15168.0,,False
frontal,C(cls)[T.very large station wagons/minivans],1.0762548787771111,0.6854353835115378,1.4670743740426846,6.760230048972945e-08,15168.0,,False
frontal,C(driver_sex)[T.2.0],-0.7178452137312981,-0.7867763822090452,-0.6489140452535509,1.3365616707506488e-92,15168.0,,False
frontal,C(road_class)[T.urban],-0.5991054084540254,-0.6631995065903558,-0.535011310317695,5.696646019363159e-75,15168.0,,False
