nameplate,drivetrain,class,study_cycle,rate_overall,ci_lo,ci_hi,rating_composite,class_z
Honda CR-V,4WD,small SUVs,MY2017,25.0,0.0,50.0,,-0.5083989460170395
Ford Escape,4WD,small SUVs,MY2017,24.0,15.0,33.0,,-0.5607341316364406
Jeep Compass,4WD,small SUVs,MY2017,40.0,15.0,64.0,,0.27662883827397733
Chevrolet Trax,4WD,small SUVs,MY2017,45.0,2.0,88.0,,0.5383047663709829
Jeep Patriot,4WD,small SUVs,MY2017,36.0,18.0,54.0,,0.06728809579637282
Jeep Cherokee,2WD,midsize SUVs,MY2017,26.0,12.0,41.0,,0.12968503438215187
Jeep Cherokee,4WD,midsize SUVs,MY2017,20.0,10.0,30.0,,-0.41852897459694516
Kia Sorento,2WD,midsize SUVs,MY2017,32.0,5.0,58.0,,0.677899043361249
Ford Explorer,2WD,midsize SUVs,MY2017,33.0,8.0,58.0,,0.7692680448577651
GMC Terrain,2WD,midsize SUVs,MY2017,33.0,16.0,51.0,,0.7692680448577651
Ford Explorer,4WD,midsize SUVs,MY2017,13.0,2.0,24.0,,-1.0581119850725584
Ford Edge,2WD,midsize SUVs,MY2017,21.0,2.0,41.0,,-0.327159973100429
Ford Flex,2WD,midsize SUVs,MY2017,38.0,0.0,75.0,,1.226113052340346
Nissan Murano,4WD,midsize SUVs,MY2017,19.0,0.0,42.0,,-0.5098979760934613
Hyundai Santa Fe,4WD,midsize SUVs,MY2017,13.0,0.0,31.0,,-1.0581119850725584
Jeep Grand Cherokee,2WD,midsize SUVs,MY2017,17.0,3.0,31.0,,-0.6926359790864938
Hyundai Santa Fe Sport,4WD,midsize SUVs,MY2017,39.0,8.0,69.0,,1.3174820538368621
Honda Pilot,2WD,midsize SUVs,MY2017,17.0,0.0,43.0,,-0.6926359790864938
Hyundai Santa Fe Sport,2WD,midsize SUVs,MY2017,51.0,24.0,78.0,,2.413910071795056
Hyundai Santa Fe,2WD,midsize SUVs,MY2017,16.0,0.0,47.0,,-0.7840049805830099
Jeep Grand Cherokee,4WD,midsize SUVs,MY2017,16.0,10.0,23.0,,-0.7840049805830099
Dodge Journey,4WD,midsize SUVs,MY2017,23.0,2.0,44.0,,-0.14442197010739666
Chevrolet Equinox,4WD,midsize SUVs,MY2017,29.0,15.0,43.0,,0.4037920388717004
Dodge Journey,2WD,midsize SUVs,MY2017,45.0,25.0,65.0,,1.8656960628159593
Toyota 4Runner,4WD,midsize SUVs,MY2017,13.0,1.0,25.0,,-1.0581119850725584
Nissan Pathfinder,4WD,midsize SUVs,MY2017,20.0,3.0,37.0,,-0.41852897459694516
Toyota 4Runner,2WD,midsize SUVs,MY2017,34.0,0.0,67.0,,0.8606370463542813
Nissan Pathfinder,2WD,midsize SUVs,MY2017,25.0,5.0,45.0,,0.038316032885635704
Kia Sorento,4WD,midsize SUVs,MY2017,12.0,0.0,25.0,,-1.1494809865690745
Honda Pilot,4WD,midsize SUVs,MY2017,11.0,0.0,27.0,,-1.2408499880655908
Nissan Murano,2WD,midsize SUVs,MY2017,19.0,0.0,43.0,,-0.5098979760934613
Toyota Highlander,4WD,midsize SUVs,MY2017,13.0,0.0,30.0,,-1.0581119850725584
GMC Terrain,4WD,midsize SUVs,MY2017,18.0,6.0,31.0,,-0.6012669775899775
Ford Edge,4WD,midsize SUVs,MY2017,20.0,6.0,33.0,,-0.41852897459694516
Chevrolet Equinox,2WD,midsize SUVs,MY2017,45.0,33.0,57.0,,1.8656960628159593
Jeep Wrangler 4-door,4WD,midsize SUVs,MY2017,31.0,21.0,41.0,,0.5865300418647328
GMC Yukon,4WD,large SUVs,MY2017,27.0,0.0,53.0,,0.08375742428256125
Chevrolet Traverse,2WD,large SUVs,MY2017,27.0,11.0,44.0,,0.08375742428256125
Buick Enclave,4WD,large SUVs,MY2017,24.0,0.0,49.0,,-0.1675148485651225
Chevrolet Tahoe,4WD,large SUVs,MY2017,19.0,3.0,35.0,,-0.5863019699779287
Dodge Durango,4WD,large SUVs,MY2017,15.0,0.0,30.0,,-0.9213316671081737
GMC Yukon,2WD,large SUVs,MY2017,40.0,0.0,88.0,,1.1726039399558574
Chevrolet Tahoe,2WD,large SUVs,MY2017,28.0,5.0,51.0,,0.1675148485651225
Buick Enclave,2WD,large SUVs,MY2017,20.0,2.0,38.0,,-0.5025445456953676
Chevrolet Traverse,4WD,large SUVs,MY2017,29.0,9.0,49.0,,0.2512722728476838
Dodge Durango,2WD,large SUVs,MY2017,11.0,0.0,28.0,,-1.2563613642384188
Ford Expedition,4WD,large SUVs,MY2017,17.0,0.0,36.0,,-0.7538168185430513
Ford Expedition,2WD,large SUVs,MY2017,55.0,5.0,104.0,,2.4289653041942763
Ford Expedition EL,4WD,very large SUVs,MY2017,16.0,0.0,47.0,,0.3498160710127484
GMC Yukon XL 1500,4WD,very large SUVs,MY2017,0.0,0.0,20.0,,-1.142732498641645
Chevrolet Suburban 1500,2WD,very large SUVs,MY2017,25.0,0.0,57.0,,1.1893746414433446
Chevrolet Suburban 1500,4WD,very large SUVs,MY2017,8.0,0.0,18.0,,-0.39645821381444823
Buick Encore,2WD,small luxury SUVs,MY2017,46.0,20.0,72.0,,0.6153846153846154
Land Rover Range Rover Evoque,4WD,small luxury SUVs,MY2017,0.0,0.0,35.0,,-1.1538461538461537
Buick Encore,4WD,small luxury SUVs,MY2017,44.0,9.0,79.0,,0.5384615384615384
Infiniti QX60,4WD,midsize luxury SUVs,MY2017,9.0,0.0,20.0,,0.0
Audi Q5,4WD,midsize luxury SUVs,MY2017,12.0,0.0,24.0,,0.34462781148036764
Lexus NX 200t,4WD,midsize luxury SUVs,MY2017,0.0,0.0,28.0,,-1.033883434441103
BMW X3,4WD,midsize luxury SUVs,MY2017,5.0,0.0,11.0,,-0.4595037486404902
Lexus NX 200t,2WD,midsize luxury SUVs,MY2017,15.0,0.0,46.0,,0.6892556229607353
Infiniti QX60,2WD,midsize luxury SUVs,MY2017,0.0,0.0,26.0,,-1.033883434441103
Acura RDX,4WD,midsize luxury SUVs,MY2017,12.0,0.0,27.0,,0.34462781148036764
Acura RDX,2WD,midsize luxury SUVs,MY2017,4.0,0.0,12.0,,-0.5743796858006127
Volvo XC60,4WD,midsize luxury SUVs,MY2017,29.0,0.0,66.0,,2.297518743202451
BMW X5,4WD,midsize luxury SUVs,MY2017,4.0,0.0,11.0,,-0.5743796858006127
Land Rover Range Rover,4WD,large luxury SUVs,MY2017,15.0,0.0,45.0,,1.3887301496588271
Porsche Cayenne,4WD,large luxury SUVs,MY2017,0.0,0.0,26.0,,-0.9258200997725514
Lexus GX 460,4WD,large luxury SUVs,MY2017,3.0,0.0,10.0,,-0.4629100498862757
Cadillac Escalade,4WD,large luxury SUVs,MY2017,6.0,0.0,19.0,,0.0
BMW 328i,,midsize luxury cars,MY2014,17.0,3.0,49.0,,0.0
Mercedes-Benz C-Class sedan,4WD,midsize luxury cars,MY2014,25.0,2.0,48.0,,0.859810402003104
Mercedes-Benz C-Class sedan,2WD,midsize luxury cars,MY2014,11.0,1.0,20.0,,-0.644857801502328
Lexus ES 350,,midsize luxury cars,MY2014,31.0,3.0,59.0,,1.504668203505432
Audi A4,4WD,midsize luxury cars,MY2014,15.0,3.0,43.0,,-0.214952600500776
Lexus CT 200h,,midsize luxury cars,MY2014,0.0,0.0,25.0,,-1.827097104256596
Acura TL,2WD,midsize luxury cars,MY2014,21.0,0.0,45.0,,0.429905201001552
Volvo S60,2WD,midsize luxury cars,MY2014,16.0,2.0,56.0,,-0.107476300250388
Mercedes-Benz E-Class sedan,2WD,large luxury cars,MY2014,4.0,0.0,22.0,,-0.2837158914367821
Hyundai Genesis sedan,,large luxury cars,MY2014,15.0,3.0,44.0,,1.081666836102732
Audi A6,4WD,large luxury cars,MY2014,0.0,0.0,36.0,,-0.7802187014511509
BMW 535xi,4WD,large luxury cars,MY2014,0.0,0.0,30.0,,-0.7802187014511509
BMW 535i/is,2WD,large luxury cars,MY2014,0.0,0.0,28.0,,-0.7802187014511509
BMW 528i,2WD,large luxury cars,MY2014,20.0,4.0,60.0,,1.702295348620693
Mercedes-Benz E-Class sedan,4WD,large luxury cars,MY2014,5.0,0.0,26.0,,-0.15959018893318994
Ford Mustang convertible,,midsize sports cars,MY2014,60.0,5.0,115.0,,0.7395441611851471
Ford Mustang coupe,,midsize sports cars,MY2014,58.0,28.0,87.0,,0.39821608679200243
Ford Mustang GT coupe,,midsize sports cars,MY2014,49.0,22.0,76.0,,-1.1377602479771483
Chevrolet Camaro coupe,,large sports cars,MY2014,55.0,36.0,74.0,,0.7071067811865475
Chevrolet Camaro convertible,,large sports cars,MY2014,51.0,19.0,83.0,,-0.7071067811865475
Ford Fiesta,,mini station wagons/minivans,MY2014,63.0,31.0,95.0,,
Hyundai Accent,,mini station wagons/minivans,MY2014,63.0,18.0,108.0,,
Ford Focus,,small station wagons/minivans,MY2014,45.0,26.0,64.0,,0.23459633306500932
Chevrolet Sonic,,small station wagons/minivans,MY2014,54.0,20.0,88.0,,0.5704956281353636
Subaru XV Crosstrek,4WD,small station wagons/minivans,MY2014,17.0,4.0,51.0,,-0.8104236960427597
Kia Soul,,small station wagons/minivans,MY2014,82.0,24.0,140.0,,1.6155156572431326
Scion xB,,small station wagons/minivans,MY2014,51.0,21.0,82.0,,0.45852919644524553
Subaru Impreza,4WD,small station wagons/minivans,MY2014,12.0,3.0,36.0,,-0.9970344155262898
Mini Countryman,2WD,small station wagons/minivans,MY2014,10.0,0.0,53.0,,-1.071678703319702
Toyota Prius v,,midsize station wagons/minivans,MY2014,29.0,2.0,56.0,,1.131370849898476
Mazda 5,,midsize station wagons/minivans,MY2014,23.0,5.0,66.0,,0.282842712474619
Subaru Outback,4WD,midsize station wagons/minivans,MY2014,12.0,5.0,20.0,,-1.2727922061357855
Volkswagen Jetta,,midsize station wagons/minivans,MY2014,20.0,0.0,41.0,,-0.1414213562373095
Honda Odyssey,,very large station wagons/minivans,MY2014,8.0,1.0,15.0,,-0.820327019508069
Dodge Grand Caravan,,very large station wagons/minivans,MY2014,35.0,21.0,48.0,,0.6728524991470679
Chrysler Town & Country,,very large station wagons/minivans,MY2014,22.0,11.0,33.0,,-0.046085787612812804
Toyota Sienna,2WD,very large station wagons/minivans,MY2014,9.0,2.0,16.0,,-0.7650240743726935
Toyota Sienna,4WD,very large station wagons/minivans,MY2014,10.0,1.0,37.0,,-0.7097211292373181
Nissan Quest,,very large station wagons/minivans,MY2014,53.0,4.0,101.0,,1.668305511583826
Toyota Tacoma Double Cab long bed,4WD,small pickups,MY2014,0.0,0.0,30.0,,-1.5288740400663139
Nissan Frontier Crew Cab short bed,4WD,small pickups,MY2014,16.0,0.0,31.0,,-0.3640176285872176
Nissan Frontier Crew Cab short bed,2WD,small pickups,MY2014,42.0,9.0,76.0,,1.5288740400663139
Toyota Tacoma Double Cab short bed,2WD,small pickups,MY2014,13.0,1.0,24.0,,-0.5824282057395481
Toyota Tacoma Double Cab short bed,4WD,small pickups,MY2014,29.0,6.0,52.0,,0.5824282057395481
Toyota Tacoma Access Cab,2WD,small pickups,MY2014,30.0,0.0,63.0,,0.6552317314569917
Toyota Tacoma Access Cab,4WD,small pickups,MY2014,17.0,0.0,33.0,,-0.29121410286977406
Toyota Tundra Double Cab short bed,2WD,large pickups,MY2014,19.0,2.0,36.0,,-0.7873511764136762
Ram 1500 Quad Cab,4WD,large pickups,MY2014,39.0,6.0,72.0,,0.5819552173492389
Ford F-150 SuperCab,4WD,large pickups,MY2014,28.0,17.0,39.0,,-0.1711632992203644
Toyota Tundra CrewMax,4WD,large pickups,MY2014,24.0,8.0,40.0,,-0.4450245779729474
Honda Ridgeline,4WD,large pickups,MY2014,26.0,3.0,49.0,,-0.3080939385966559
Ford F-150 Regular Cab,2WD,large pickups,MY2014,22.0,4.0,40.0,,-0.5819552173492389
Ford F-150 SuperCab,2WD,large pickups,MY2014,20.0,7.0,32.0,,-0.7188858567255305
Ram 1500 Crew Cab short bed,4WD,large pickups,MY2014,55.0,21.0,90.0,,1.6774003323595712
Ram 1500 Quad Cab,2WD,large pickups,MY2014,29.0,0.0,57.0,,-0.10269797953221864
Chevrolet Silverado 1500 Double Cab,4WD,large pickups,MY2014,27.0,6.0,79.0,,-0.23962861890851017
Ford F-150 SuperCrew,2WD,large pickups,MY2014,22.0,10.0,34.0,,-0.5819552173492389
Toyota Tundra Double Cab short bed,4WD,large pickups,MY2014,17.0,4.0,30.0,,-0.9242818157899678
Nissan Titan Crew Cab short bed,4WD,large pickups,MY2014,73.0,16.0,130.0,,2.909776086746195
Ford F-150 SuperCrew,4WD,large pickups,MY2014,24.0,17.0,31.0,,-0.4450245779729474
Toyota Tundra CrewMax,2WD,large pickups,MY2014,28.0,3.0,53.0,,-0.1711632992203644
Chevrolet Silverado 1500 Crew Cab,4WD,large pickups,MY2014,35.0,12.0,59.0,,0.3080939385966559
Ford F250 SuperCab,4WD,very large pickups,MY2014,31.0,9.0,53.0,,0.0
GMC Sierra 2500 Crew Cab,4WD,very large pickups,MY2014,27.0,7.0,48.0,,-0.4224200062852578
Chevrolet Silverado 3500 Crew Cab,4WD,very large pickups,MY2014,33.0,4.0,63.0,,0.2112100031426289
Ford F350 Crew Cab,4WD,very large pickups,MY2014,13.0,3.0,23.0,,-1.90089002828366
Chevrolet Silverado 2500 Crew Cab,4WD,very large pickups,MY2014,34.0,18.0,51.0,,0.31681500471394336
Ram 2500 Crew Cab short bed,4WD,very large pickups,MY2014,44.0,8.0,81.0,,1.3728650204270878
Ford F250 Crew Cab,4WD,very large pickups,MY2014,35.0,22.0,47.0,,0.4224200062852578
Hyundai Tucson,2WD,small SUVs,MY2014,26.0,7.0,45.0,,0.0846216024182664
Kia Sportage,2WD,small SUVs,MY2014,37.0,6.0,69.0,,1.1318139323443126
Honda CR-V,4WD,small SUVs,MY2014,14.0,6.0,22.0,,-1.0577700302283295
Jeep Compass,4WD,small SUVs,MY2014,22.0,0.0,43.0,,-0.2961756084639322
Toyota RAV4,4WD,small SUVs,MY2014,25.0,7.0,43.0,,-0.010577700302283256
Jeep Wrangler 2-door,4WD,small SUVs,MY2014,35.0,18.0,51.0,,0.9414153269032133
Ford Escape,4WD,small SUVs,MY2014,19.0,3.0,34.0,,-0.5817735166255812
Jeep Compass,2WD,small SUVs,MY2014,39.0,3.0,75.0,,1.322212537785412
Toyota RAV4,2WD,small SUVs,MY2014,13.0,3.0,39.0,,-1.152969332948879
Mitsubishi Outlander Sport,2WD,small SUVs,MY2014,29.0,6.0,86.0,,0.37021951057991537
Kia Sportage,4WD,small SUVs,MY2014,13.0,2.0,46.0,,-1.152969332948879
Ford Escape,2WD,small SUVs,MY2014,30.0,13.0,48.0,,0.46541881330046503
Hyundai Tucson,4WD,small SUVs,MY2014,41.0,0.0,82.0,,1.5126111432265112
Mazda CX-5,2WD,small SUVs,MY2014,29.0,6.0,84.0,,0.37021951057991537
Subaru Forester,4WD,small SUVs,MY2014,28.0,3.0,53.0,,0.2750202078593657
Volkswagen Tiguan,4WD,small SUVs,MY2014,30.0,3.0,56.0,,0.46541881330046503
Honda CR-V,2WD,small SUVs,MY2014,22.0,8.0,36.0,,-0.2961756084639322
Volkswagen Tiguan,2WD,small SUVs,MY2014,0.0,0.0,25.0,,-2.3905602683160248
Toyota Venza,4WD,midsize SUVs,MY2014,7.0,0.0,36.0,,-1.011370634668019
Hyundai Santa Fe Sport,2WD,midsize SUVs,MY2014,23.0,2.0,44.0,,0.2241954608869992
Ford Explorer,2WD,midsize SUVs,MY2014,27.0,9.0,45.0,,0.5330869847757538
Honda Pilot,4WD,midsize SUVs,MY2014,15.0,5.0,25.0,,-0.3935875868905099
Nissan Murano,2WD,midsize SUVs,MY2014,43.0,17.0,69.0,,1.7686530803307718
Mazda CX-9,2WD,midsize SUVs,MY2014,0.0,0.0,30.0,,-1.5519308014733395
Jeep Grand Cherokee,4WD,midsize SUVs,MY2014,16.0,7.0,24.0,,-0.3163647059183212
Dodge Journey,4WD,midsize SUVs,MY2014,13.0,2.0,48.0,,-0.5480333488348872
Nissan Pathfinder,2WD,midsize SUVs,MY2014,18.0,2.0,66.0,,-0.16191894397394396
Ford Flex,2WD,midsize SUVs,MY2014,45.0,3.0,86.0,,1.9230988422751492
Toyota 4Runner,4WD,midsize SUVs,MY2014,9.0,2.0,26.0,,-0.8569248727236417
Toyota Venza,2WD,midsize SUVs,MY2014,11.0,1.0,38.0,,-0.7024791107792644
Nissan Pathfinder,4WD,midsize SUVs,MY2014,7.0,0.0,41.0,,-1.011370634668019
Nissan Xterra,4WD,midsize SUVs,MY2014,14.0,2.0,50.0,,-0.47081046786269853
Dodge Journey,2WD,midsize SUVs,MY2014,21.0,7.0,35.0,,0.06974969894262192
Nissan Murano,4WD,midsize SUVs,MY2014,10.0,2.0,29.0,,-0.779701991751453
Jeep Grand Cherokee,2WD,midsize SUVs,MY2014,10.0,2.0,31.0,,-0.779701991751453
Toyota FJ Cruiser,4WD,midsize SUVs,MY2014,17.0,2.0,63.0,,-0.23914182494613262
Honda Pilot,2WD,midsize SUVs,MY2014,17.0,3.0,32.0,,-0.23914182494613262
GMC Terrain,2WD,midsize SUVs,MY2014,53.0,31.0,75.0,,2.5408818900526584
Chevrolet Captiva Sport,2WD,midsize SUVs,MY2014,39.0,9.0,69.0,,1.4597615564420174
GMC Terrain,4WD,midsize SUVs,MY2014,32.0,7.0,57.0,,0.919201389636697
Ford Edge,2WD,midsize SUVs,MY2014,26.0,13.0,39.0,,0.4558641038035651
Toyota 4Runner,2WD,midsize SUVs,MY2014,19.0,4.0,56.0,,-0.08469606300175533
Jeep Cherokee,4WD,midsize SUVs,MY2014,0.0,0.0,36.0,,-1.5519308014733395
Jeep Wrangler 4-door,4WD,midsize SUVs,MY2014,27.0,14.0,41.0,,0.5330869847757538
Chevrolet Equinox,2WD,midsize SUVs,MY2014,33.0,22.0,44.0,,0.9964242706088855
Chevrolet Equinox,4WD,midsize SUVs,MY2014,23.0,10.0,35.0,,0.2241954608869992
Ford Explorer,4WD,midsize SUVs,MY2014,4.0,0.0,9.0,,-1.2430392775845849
Ford Edge,4WD,midsize SUVs,MY2014,24.0,5.0,43.0,,0.3014183418591878
Mazda CX-9,4WD,midsize SUVs,MY2014,20.0,4.0,59.0,,-0.007473182029566704
GMC Yukon,4WD,large SUVs,MY2014,24.0,4.0,44.0,,0.48309065994849243
Chevrolet Traverse,2WD,large SUVs,MY2014,25.0,9.0,41.0,,0.6157037822872943
Chevrolet Tahoe,4WD,large SUVs,MY2014,32.0,10.0,54.0,,1.5439956386589073
Buick Enclave,4WD,large SUVs,MY2014,12.0,2.0,35.0,,-1.10826680811713
Dodge Durango,4WD,large SUVs,MY2014,16.0,3.0,28.0,,-0.5778143187619225
GMC Acadia,2WD,large SUVs,MY2014,19.0,2.0,37.0,,-0.1799749517455169
Dodge Durango,2WD,large SUVs,MY2014,16.0,3.0,46.0,,-0.5778143187619225
Chevrolet Traverse,4WD,large SUVs,MY2014,20.0,3.0,38.0,,-0.04736182940671502
Chevrolet Tahoe,2WD,large SUVs,MY2014,9.0,2.0,27.0,,-1.5061061751335356
Buick Enclave,2WD,large SUVs,MY2014,30.0,7.0,54.0,,1.2787693939813036
GMC Yukon,2WD,large SUVs,MY2014,29.0,0.0,58.0,,1.1461562716425018
Ford Expedition,2WD,large SUVs,MY2014,8.0,0.0,47.0,,-1.6387192974723375
GMC Acadia,4WD,large SUVs,MY2014,22.0,2.0,43.0,,0.2178644152708887
Ford Expedition,4WD,large SUVs,MY2014,23.0,0.0,46.0,,0.3504775376096906
GMC Yukon XL 1500,4WD,very large SUVs,MY2014,11.0,1.0,41.0,,-0.4588314677411235
Chevrolet Suburban 1500,4WD,very large SUVs,MY2014,39.0,11.0,67.0,,1.1470786693528088
Chevrolet Suburban 1500,2WD,very large SUVs,MY2014,7.0,0.0,38.0,,-0.6882472016116852
Mercedes-Benz GLK-Class,2WD,midsize luxury SUVs,MY2014,9.0,0.0,51.0,,-0.2644991955343133
BMW X3,4WD,midsize luxury SUVs,MY2014,9.0,1.0,31.0,,-0.2644991955343133
Mercedes-Benz GLK-Class,4WD,midsize luxury SUVs,MY2014,7.0,0.0,38.0,,-0.41212665350695327
Lexus RX 350,2WD,midsize luxury SUVs,MY2014,0.0,0.0,12.0,,-0.928822756411193
Volvo XC60,4WD,midsize luxury SUVs,MY2014,10.0,0.0,55.0,,-0.19068546654799332
Audi Q5,4WD,midsize luxury SUVs,MY2014,7.0,1.0,26.0,,-0.41212665350695327
Cadillac SRX,4WD,midsize luxury SUVs,MY2014,23.0,0.0,49.0,,0.7688930102741663
Lincoln MKX,2WD,midsize luxury SUVs,MY2014,49.0,4.0,94.0,,2.688049963918486
Mercedes-Benz M-Class,4WD,midsize luxury SUVs,MY2014,0.0,0.0,19.0,,-0.928822756411193
Lincoln MKX,4WD,midsize luxury SUVs,MY2014,15.0,2.0,55.0,,0.17838317838360657
Cadillac SRX,2WD,midsize luxury SUVs,MY2014,20.0,3.0,37.0,,0.5474518233152065
Lexus RX 350,4WD,midsize luxury SUVs,MY2014,2.0,0.0,14.0,,-0.7811952984385532
Lexus GX 460,4WD,large luxury SUVs,MY2014,8.0,0.0,47.0,,0.4730161648796401
Audi Q7,4WD,large luxury SUVs,MY2014,0.0,0.0,36.0,,-1.1487535432791263
Porsche Cayenne,4WD,large luxury SUVs,MY2014,9.0,0.0,48.0,,0.6757373783994859
Lexus IS 250,4WD,midsize luxury cars,MY2011,30.0,0.0,68.0,,1.238988117404558
Acura TL,2WD,midsize luxury cars,MY2011,5.0,0.0,16.0,,-0.721436118995059
Mercedes-Benz C-Class,4WD,midsize luxury cars,MY2011,7.0,0.0,18.0,,-0.5646021800830897
BMW 328i sedan,,midsize luxury cars,MY2011,7.0,0.0,15.0,,-0.5646021800830897
BMW 328xi sedan,,midsize luxury cars,MY2011,16.0,0.0,42.0,,0.14115054502077248
Audi A4,4WD,midsize luxury cars,MY2011,0.0,0.0,31.0,,-1.1135209662749825
Lexus IS 250,2WD,midsize luxury cars,MY2011,16.0,0.0,37.0,,0.14115054502077248
Infiniti G37 coupe,2WD,midsize luxury cars,MY2011,42.0,12.0,72.0,,2.179991750876374
Mercedes-Benz C-Class,2WD,midsize luxury cars,MY2011,10.0,1.0,20.0,,-0.3293512717151356
Lexus ES 350,,midsize luxury cars,MY2011,9.0,2.0,16.0,,-0.4077682411711203
Cadillac DTS,,large luxury cars,MY2011,46.0,22.0,69.0,,0.7071067811865475
Cadillac CTS sedan,2WD,large luxury cars,MY2011,21.0,0.0,43.0,,-0.7071067811865475
Lexus LS 460,2WD,very large luxury cars,MY2011,18.0,0.0,55.0,,
Chevrolet Camaro coupe,,large sports cars,MY2011,80.0,48.0,113.0,,
Chevrolet Aveo,,mini station wagons/minivans,MY2011,58.0,17.0,100.0,,
Kia Soul,,small station wagons/minivans,MY2011,32.0,12.0,52.0,,-0.6056813524851214
Scion xB,,small station wagons/minivans,MY2011,31.0,16.0,47.0,,-0.6642956769191655
Subaru Impreza,4WD,small station wagons/minivans,MY2011,25.0,0.0,64.0,,-1.0159816235234296
Nissan Cube,,small station wagons/minivans,MY2011,66.0,14.0,118.0,,1.3872056782723745
Chevrolet HHR,,small station wagons/minivans,MY2011,61.0,30.0,91.0,,1.0941340561021546
Dodge Caliber,2WD,small station wagons/minivans,MY2011,39.0,19.0,58.0,,-0.19538108144681346
Volkswagen Jetta,,midsize station wagons/minivans,MY2011,6.0,0.0,18.0,,
Subaru Outback,4WD,midsize station wagons/minivans,MY2011,6.0,0.0,14.0,,
Toyota Sienna,2WD,very large station wagons/minivans,MY2011,27.0,0.0,66.0,,0.6923877158526647
Dodge Grand Caravan,,very large station wagons/minivans,MY2011,27.0,15.0,39.0,,0.6923877158526647
Kia Sedona,,very large station wagons/minivans,MY2011,16.0,0.0,37.0,,-0.25964539344474924
Honda Odyssey,,very large station wagons/minivans,MY2011,0.0,0.0,37.0,,-1.6444208251500787
Chrysler Town & Country,,very large station wagons/minivans,MY2011,25.0,15.0,35.0,,0.5192907868894985
Toyota Tacoma Xtra,4WD,small pickups,MY2011,20.0,0.0,44.0,,-0.4173375325965112
Toyota Tacoma Double short bed,2WD,small pickups,MY2011,19.0,0.0,49.0,,-0.6558161226516604
Toyota Tacoma Xtra,2WD,small pickups,MY2011,28.0,0.0,71.0,,1.4904911878446827
Toyota Tacoma Double short bed,4WD,small pickups,MY2011,20.0,0.0,41.0,,-0.4173375325965112
Chevrolet Silverado 1500 Crew,4WD,large pickups,MY2011,79.0,40.0,117.0,,3.1649468509253573
Dodge Ram 1500 Quad,4WD,large pickups,MY2011,8.0,0.0,20.0,,-1.1418072066472542
Toyota Tundra Double short bed,4WD,large pickups,MY2011,15.0,4.0,27.0,,-0.7171976516753066
Ford F-150 Super,4WD,large pickups,MY2011,39.0,19.0,58.0,,0.7386065367999425
Ford F-150 Crew,4WD,large pickups,MY2011,27.0,13.0,40.0,,0.01070444256231797
Ford F-150 Regular,2WD,large pickups,MY2011,30.0,0.0,59.0,,0.1926799661217241
Dodge Ram 1500 Crew short bed,4WD,large pickups,MY2011,28.0,7.0,50.0,,0.07136295041545335
Toyota Tundra Crew Max,2WD,large pickups,MY2011,41.0,0.0,83.0,,0.8599235525062132
Ford F-150 Super,2WD,large pickups,MY2011,24.0,4.0,44.0,,-0.17127108099708815
Toyota Tundra Double short bed,2WD,large pickups,MY2011,18.0,4.0,32.0,,-0.5352221281159004
Dodge Ram 1500 Quad,2WD,large pickups,MY2011,29.0,3.0,54.0,,0.13202145826858872
Chevrolet Silverado 1500 Crew,2WD,large pickups,MY2011,12.0,0.0,29.0,,-0.8991731752347127
Toyota Tundra Crew Max,4WD,large pickups,MY2011,20.0,0.0,46.0,,-0.4139051124096297
Honda Ridgeline,4WD,large pickups,MY2011,13.0,0.0,25.0,,-0.8385146673815773
Dodge Ram 1500 Crew short bed,2WD,large pickups,MY2011,18.0,0.0,39.0,,-0.5352221281159004
Ford F-150 Crew,2WD,large pickups,MY2011,19.0,6.0,31.0,,-0.47456362026276505
Chevrolet Silverado 1500 Ext,4WD,large pickups,MY2011,36.0,8.0,64.0,,0.5566310132405363
Jeep Patriot,2WD,small SUVs,MY2011,57.0,20.0,95.0,,2.283213743588861
Ford Escape,4WD,small SUVs,MY2011,35.0,16.0,54.0,,0.6776661796039998
Nissan Rogue,4WD,small SUVs,MY2011,25.0,7.0,42.0,,-0.05212816766184622
Jeep Compass,2WD,small SUVs,MY2011,7.0,0.0,20.0,,-1.3657579927403691
Toyota RAV4,2WD,small SUVs,MY2011,35.0,14.0,55.0,,0.6776661796039998
Subaru Forester,4WD,small SUVs,MY2011,20.0,7.0,33.0,,-0.4170253412947692
Nissan Rogue,2WD,small SUVs,MY2011,42.0,16.0,67.0,,1.188522222690092
Toyota RAV4,4WD,small SUVs,MY2011,19.0,8.0,29.0,,-0.49000477602135384
Ford Escape,2WD,small SUVs,MY2011,27.0,9.0,46.0,,0.09383070179132298
Honda CR-V,2WD,small SUVs,MY2011,19.0,8.0,31.0,,-0.49000477602135384
Honda CR-V,4WD,small SUVs,MY2011,17.0,8.0,26.0,,-0.635963645474523
Jeep Patriot,4WD,small SUVs,MY2011,11.0,0.0,25.0,,-1.0738402538340306
Jeep Wrangler 2-door,4WD,small SUVs,MY2011,34.0,15.0,52.0,,0.6046867448774151
Honda Element,4WD,small SUVs,MY2011,12.0,0.0,30.0,,-1.000860819107446
Honda Pilot,2WD,midsize SUVs,MY2011,11.0,0.0,34.0,,-0.4278286873000064
Honda Pilot,4WD,midsize SUVs,MY2011,2.0,0.0,7.0,,-1.1189365667846318
