nameplate,drivetrain,class,study_cycle,rate_overall,ci_lo,ci_hi,rating_composite,class_z
Jeep Gladiator,4WD,small pickups,MY2020,15.0,0.0,37.0,,-0.742499066384897
Chevrolet Colorado Extended Cab,2WD,small pickups,MY2020,34.0,8.0,59.0,,0.34269187679302937
Nissan Frontier King Cab,2WD,small pickups,MY2020,40.0,12.0,68.0,,0.6853837535860587
Ford Ranger Crew Cab,4WD,small pickups,MY2020,14.0,0.0,31.0,,-0.7996143791837352
Toyota Tacoma Double Cab short bed,2WD,small pickups,MY2020,27.0,8.0,46.0,,-0.05711531279883823
Nissan Frontier Crew Cab short bed,4WD,small pickups,MY2020,56.0,28.0,85.0,,1.5992287583674705
Nissan Frontier Crew Cab short bed,2WD,small pickups,MY2020,58.0,27.0,88.0,,1.7134593839651469
Ford F-150 SuperCab,4WD,large pickups,MY2020,29.0,3.0,55.0,,0.05303428346689764
Ford F-150 SuperCrew,2WD,large pickups,MY2020,30.0,5.0,55.0,,0.1591028504006929
Toyota Tundra Double Cab short bed,4WD,large pickups,MY2020,12.0,0.0,28.0,,-1.7501313544076222
Ram 1500 Classic Crew Cab short bed,4WD,large pickups,MY2020,51.0,1.0,100.0,,2.386542756010394
Chevrolet Silverado 1500 Extended Cab,4WD,large pickups,MY2020,14.0,0.0,31.0,,-1.5379942205400317
Ram 1500 Crew Cab short bed,4WD,large pickups,MY2020,35.0,20.0,51.0,,0.6894456850696693
Chevrolet Silverado 1500 Crew Cab,2WD,large pickups,MY2020,33.0,8.0,58.0,,0.47730855120207877
GMC Sierra 1500 Crew Cab,4WD,large pickups,MY2020,24.0,9.0,38.0,,-0.47730855120207877
Ford F-150 SuperCrew,4WD,large pickups,MY2020,30.0,20.0,41.0,,0.1591028504006929
Ram 1500 Quad Cab,4WD,large pickups,MY2020,31.0,0.0,62.0,,0.26517141733448824
Ram 1500 Classic Quad Cab,4WD,large pickups,MY2020,23.0,0.0,49.0,,-0.583377118135874
Ram 1500 Crew Cab short bed,2WD,large pickups,MY2020,28.0,0.0,63.0,,-0.05303428346689764
Toyota Tundra Crew Max,4WD,large pickups,MY2020,34.0,15.0,52.0,,0.583377118135874
Chevrolet Silverado 1500 Crew Cab,4WD,large pickups,MY2020,25.0,14.0,37.0,,-0.3712399842682835
Ram 2500 Mega Cab,4WD,very large pickups,MY2020,65.0,22.0,108.0,,2.0219833335021593
Ford F-250 SuperCab,4WD,very large pickups,MY2020,22.0,2.0,41.0,,-1.0991294018011741
Ford F-350 Crew Cab,4WD,very large pickups,MY2020,29.0,16.0,42.0,,-0.5910412821006316
Ram 3500 Crew Cab long bed,4WD,very large pickups,MY2020,37.0,16.0,57.0,,-0.010369145300011297
Ram 2500 Crew Cab long bed,4WD,very large pickups,MY2020,42.0,7.0,76.0,,0.35255094020037636
Ford F-250 Crew Cab,4WD,very large pickups,MY2020,32.0,22.0,42.0,,-0.37328923080039894
Ram 2500 Crew Cab short bed,4WD,very large pickups,MY2020,33.0,21.0,46.0,,-0.3007052137003214
Jeep Renegade,2WD,small SUVs,MY2020,50.0,21.0,78.0,,0.36744593087549393
Honda CR-V,4WD,small SUVs,MY2020,14.0,0.0,36.0,,-1.4251407599376633
Jeep Compass,4WD,small SUVs,MY2020,41.0,24.0,58.0,,-0.08070074182779534
Nissan Rogue,4WD,small SUVs,MY2020,53.0,23.0,82.0,,0.5168281551099237
Chevrolet Equinox,4WD,small SUVs,MY2020,30.0,0.0,62.0,,-0.6284355640207044
Nissan Rogue,2WD,small SUVs,MY2020,52.0,23.0,82.0,,0.4670340803651138
Chevrolet Trax,2WD,small SUVs,MY2020,89.0,57.0,121.0,,2.3094148459230808
Ford EcoSport,2WD,small SUVs,MY2020,84.0,35.0,132.0,,2.0604444721990314
Honda HR-V,2WD,small SUVs,MY2020,63.0,29.0,96.0,,1.0147689025580229
Jeep Compass,2WD,small SUVs,MY2020,27.0,6.0,48.0,,-0.7778177882551343
Toyota RAV4,4WD,small SUVs,MY2020,56.0,30.0,83.0,,0.6662103793443535
Mitsubishi Outlander Sport,2WD,small SUVs,MY2020,39.0,13.0,64.0,,-0.18028889131741518
Chevrolet Trax,4WD,small SUVs,MY2020,59.0,26.0,91.0,,0.8155926035787833
Subaru Forester,,small SUVs,MY2020,30.0,13.0,48.0,,-0.6284355640207044
Honda HR-V,4WD,small SUVs,MY2020,31.0,14.0,48.0,,-0.5786414892758945
Toyota RAV4 hybrid,4WD,small SUVs,MY2020,20.0,0.0,40.0,,-1.1263763114688037
Ford EcoSport,4WD,small SUVs,MY2020,67.0,29.0,104.0,,1.2139452015372627
Hyundai Santa Fe,2WD,small SUVs,MY2020,17.0,0.0,39.0,,-1.2757585357032335
Chevrolet Equinox,2WD,small SUVs,MY2020,49.0,17.0,80.0,,0.31765185613068403
Ford Escape,4WD,small SUVs,MY2020,43.0,1.0,85.0,,0.018887407661824503
Toyota C-HR,,small SUVs,MY2020,2.0,0.0,7.0,,-2.022669656875382
Hyundai Santa Fe,4WD,small SUVs,MY2020,19.0,0.0,37.0,,-1.1761703862136137
Hyundai Tucson,4WD,small SUVs,MY2020,40.0,7.0,73.0,,-0.13049481657260525
Hyundai Tucson,2WD,small SUVs,MY2020,60.0,16.0,105.0,,0.8653866783235932
Mitsubishi Outlander Sport,4WD,small SUVs,MY2020,28.0,3.0,53.0,,-0.7280237135103244
Mitsubishi Outlander,2WD,small SUVs,MY2020,36.0,11.0,61.0,,-0.329671115551845
Jeep Renegade,4WD,small SUVs,MY2020,49.0,25.0,72.0,,0.31765185613068403
Toyota RAV4,2WD,small SUVs,MY2020,35.0,13.0,56.0,,-0.3794651902966549
Mitsubishi Outlander,4WD,small SUVs,MY2020,53.0,12.0,95.0,,0.5168281551099237
Jeep Grand Cherokee,2WD,midsize SUVs,MY2020,40.0,18.0,62.0,,0.8757777149096869
Honda Pilot,4WD,midsize SUVs,MY2020,13.0,0.0,30.0,,-0.689030996289239
Chevrolet Traverse,4WD,midsize SUVs,MY2020,6.0,0.0,13.0,,-1.0947221436371088
GMC Acadia,2WD,midsize SUVs,MY2020,10.0,2.0,19.0,,-0.8628986308668976
Nissan Murano,2WD,midsize SUVs,MY2020,4.0,0.0,12.0,,-1.2106339000222144
Subaru Ascent,,midsize SUVs,MY2020,6.0,0.0,16.0,,-1.0947221436371088
Buick Enclave,2WD,midsize SUVs,MY2020,38.0,1.0,75.0,,0.7598659585245814
Nissan Murano,4WD,midsize SUVs,MY2020,22.0,0.0,43.0,,-0.1674280925562637
Jeep Grand Cherokee,4WD,midsize SUVs,MY2020,12.0,6.0,17.0,,-0.7469868744817919
Honda Pilot,2WD,midsize SUVs,MY2020,7.0,0.0,20.0,,-1.036766265444556
Kia Sorento,2WD,midsize SUVs,MY2020,35.0,17.0,53.0,,0.5859983239469229
Nissan Pathfinder,2WD,midsize SUVs,MY2020,0.0,0.0,22.0,,-1.4424574127924257
GMC Acadia,4WD,midsize SUVs,MY2020,11.0,3.0,20.0,,-0.8049427526743447
Dodge Journey,2WD,midsize SUVs,MY2020,62.0,40.0,83.0,,2.1508070351458493
Ford Explorer,4WD,midsize SUVs,MY2020,22.0,0.0,47.0,,-0.1674280925562637
Chevrolet Traverse,2WD,midsize SUVs,MY2020,30.0,9.0,50.0,,0.2962189329841588
Buick Enclave,4WD,midsize SUVs,MY2020,23.0,0.0,47.0,,-0.10947221436371089
Jeep Cherokee,2WD,midsize SUVs,MY2020,55.0,34.0,77.0,,1.745115887797979
Volkswagen Atlas,4WD,midsize SUVs,MY2020,20.0,0.0,52.0,,-0.2833398489413693
Nissan Pathfinder,4WD,midsize SUVs,MY2020,25.0,0.0,53.0,,0.006439542021394734
Ford Edge,2WD,midsize SUVs,MY2020,49.0,2.0,96.0,,1.3973806186426623
Chevrolet Blazer,2WD,midsize SUVs,MY2020,23.0,0.0,49.0,,-0.10947221436371089
Kia Sorento,4WD,midsize SUVs,MY2020,26.0,9.0,43.0,,0.06439542021394755
Jeep Cherokee,4WD,midsize SUVs,MY2020,34.0,22.0,46.0,,0.5280424457543701
Jeep Wrangler 4-door,4WD,midsize SUVs,MY2020,39.0,25.0,54.0,,0.8178218367171342
Ford Edge,4WD,midsize SUVs,MY2020,6.0,0.0,15.0,,-1.0947221436371088
Jeep Wrangler 2-door,4WD,midsize SUVs,MY2020,54.0,6.0,102.0,,1.6871600096054264
GMC Yukon,2WD,large SUVs,MY2020,24.0,0.0,55.0,,0.1449427589131121
GMC Yukon,4WD,large SUVs,MY2020,22.0,4.0,40.0,,-0.04831425297103737
Dodge Durango,2WD,large SUVs,MY2020,40.0,5.0,76.0,,1.690998853986308
Chevrolet Tahoe,4WD,large SUVs,MY2020,16.0,3.0,28.0,,-0.6280852886234858
Dodge Durango,4WD,large SUVs,MY2020,24.0,8.0,39.0,,0.1449427589131121
Chevrolet Tahoe,2WD,large SUVs,MY2020,9.0,0.0,17.0,,-1.304484830218009
Chevrolet Suburban 1500,2WD,very large SUVs,MY2020,54.0,9.0,99.0,,1.1258332685644616
Chevrolet Suburban 1500,4WD,very large SUVs,MY2020,21.0,5.0,37.0,,-0.3407126996971398
GMC Yukon XL 1500,4WD,very large SUVs,MY2020,11.0,0.0,28.0,,-0.7851205688673221
