study_cycle,class,n,mean,median,p10,p90
MY2017,midsize luxury cars,9,31.333333333333332,31.0,4.800000000000001,56.0
MY2017,midsize sports cars,3,60.0,54.0,46.8,75.6
MY2017,midsize station wagons/minivans,1,3.0,3.0,3.0,3.0
MY2017,mini station wagons/minivans,3,64.66666666666667,65.0,51.4,77.8
MY2017,small SUVs,28,34.714285714285715,29.0,12.100000000000001,60.3
MY2017,small luxury SUVs,3,30.0,44.0,8.8,45.6
MY2017,small pickups,9,27.666666666666668,21.0,15.0,45.2
MY2017,small station wagons/minivans,8,49.75,48.5,18.7,80.6
MY2017,very large SUVs,4,12.25,12.0,2.4000000000000004,22.3
MY2017,very large luxury cars,1,21.0,21.0,21.0,21.0
MY2017,very large pickups,9,30.11111111111111,30.0,15.0,50.2
MY2017,very large station wagons/minivans,6,20.666666666666668,20.5,7.5,34.0
MY2020,large SUVs,6,22.5,23.0,12.5,32.0
MY2020,large cars,7,90.85714285714286,91.0,49.400000000000006,132.4
MY2020,large luxury SUVs,1,26.0,26.0,26.0,26.0
MY2020,large luxury cars,4,18.5,22.0,5.1000000000000005,29.1
MY2020,large pickups,14,28.5,29.5,16.7,34.7
MY2020,large sports cars,2,111.5,111.5,110.3,112.7
MY2020,midsize SUVs,27,24.88888888888889,23.0,6.0,51.000000000000014
MY2020,midsize cars,10,58.1,47.5,24.4,93.19999999999999
MY2020,midsize luxury SUVs,16,10.875,6.0,3.0,24.5
MY2020,midsize luxury cars,9,24.77777777777778,17.0,5.6000000000000005,54.400000000000006
MY2020,midsize sports cars,3,77.66666666666667,77.0,62.6,93.0
MY2020,midsize station wagons/minivans,1,5.0,5.0,5.0,5.0
MY2020,mini cars,5,162.6,152.0,133.6,196.2
MY2020,mini station wagons/minivans,2,48.0,48.0,44.0,52.0
MY2020,small SUVs,29,42.62068965517241,41.0,18.6,63.8
MY2020,small cars,11,60.54545454545455,49.0,23.0,107.0
MY2020,small luxury SUVs,3,43.0,45.0,25.0,60.2
MY2020,small pickups,12,28.0,25.5,6.800000000000001,54.400000000000006
MY2020,small station wagons/minivans,3,36.666666666666664,24.0,23.2,55.2
MY2020,very large SUVs,3,28.666666666666668,21.0,13.0,47.4
MY2020,very large luxury SUVs,1,27.0,27.0,27.0,27.0
MY2020,very large pickups,7,37.142857142857146,33.0,26.2,51.20000000000001
MY2020,very large station wagons/minivans,5,26.4,20.0,5.4,51.0
